,x,y,z,label,state
7,-14.241767704523383,3.296770820114281,-2.0153970854826544,1,CA
11,-5.820270534243009,1.3425531500646761,-9.932333578617929,1,CA
12,-12.844914696861068,1.7125585088017805,1.8118144812781316,0,CA
15,-3.116870497493571,2.8181482470366066,1.5742456118736967,3,CA
24,-4.805775758040561,-1.590986824969974,-0.49605970553128254,1,CA
37,-1.6803109889959822,-2.58333986122655,-0.7653458992481849,3,CA
38,-4.126584393820196,-1.8326338580787696,0.08559533480351862,3,CA
45,2.9316203165705574,-0.20305535991020576,-0.8117056032801322,3,NV
46,-1.2200808395320404,-2.4400777771672346,-0.014311919781689116,3,CA
48,-9.07758356200383,0.0047429430182494015,1.14758978254697,1,NV
50,-0.6957835855552769,-2.4308051337946393,2.4876044372931974,3,CA
55,-0.6114150059018868,-2.6706096625672058,1.621700863981505,3,NV
63,0.8257867319661458,-2.375105507690455,3.0140547986273543,0,CA
66,-10.466778841921615,0.8523501166529633,-0.06012497386562456,1,NV
68,-7.530142461744057,-0.008350095524099049,-0.08249499232750536,1,CA
72,-6.031804963518156,0.23821406400343864,-5.165468021371544,1,CA
76,1.6279627314871836,-3.2367827639129083,-3.124299526956461,3,CA
82,-9.296501560699507,1.5905792255189808,-3.4639501099926413,1,CA
84,1.039099977875872,-3.5697976980129416,2.4614219458122752,3,CA
87,1.0800569387207137,-3.8371833995080027,1.0367593325547926,3,CA
90,-1.6518974068477683,-1.4003622159251001,-0.9118215335646088,3,NV
94,4.625765178172642,-4.878311093362722,1.632588634540203,3,CA
98,2.7064416000638323,-3.296130327522457,-3.646987924580339,3,CA
106,-1.458747822927099,-3.533564486899001,5.190519843251477,0,CA
110,1.2315861669787844,2.1588874318812517,-1.4183237492600216,3,NV
122,-0.7227446947776949,-3.9394341128391304,5.751303047099259,0,CA
125,0.8619360436463025,-3.901085938044784,2.0540872361741567,0,CA
127,2.0148966650113067,-2.946571479852509,-3.7696899867204157,3,NV
128,-0.6021595790547537,-3.8235525688341583,2.6388143902881334,3,AR
130,-0.9150135303803504,-4.391487250683393,6.827054672672313,0,CA
136,0.32337694871826994,-3.2963122237305673,2.097665041649842,3,CA
146,12.42825624864526,-7.702357287877644,-0.47931403516397986,3,CA
152,-2.789053383906715,-2.4598848780956026,1.9006470060489333,3,NV
163,0.6401753118794408,-3.5459123176492677,3.96920274106364,0,NM
166,-10.973076572694401,2.2676716441843356,-0.6179620639371671,3,CA
167,0.2922950363138389,9.82251752061633,0.6001965058229044,2,CA
185,2.843628077396363,-2.5893794652437743,-0.3290796930417294,3,CA
195,-0.9466887956729799,-3.958819865628679,5.520366746831217,0,CA
196,-6.73611688454718,-0.7474281860379896,8.327069189306034,0,CA
207,5.116147956921383,-5.33905247542719,2.266370976879802,3,NM
214,-0.2984791661628626,-3.8273269061115043,2.462289151878219,3,CA
229,10.503595463351521,0.7568726884912301,0.21697038817762268,3,CA
235,-1.6365909915044827,-2.302479783080196,-1.7552120592594,1,CA
237,-8.674282749048974,1.9886446094841383,-7.724744423106711,1,CA
241,1.5161042399450642,-4.150508713705124,-0.5440820839704532,3,CA
244,1.5245559173044956,-5.691523868272693,11.257546267923635,0,CA
246,-4.549463731784559,-1.0519248213696484,-0.320426579558147,1,CA
257,6.793703032792907,8.818954379235128,0.49836595761301594,2,CA
258,4.919482746013415,-4.178452128538333,-1.8231299878910698,3,NM
262,3.1765097471737325,-3.3400705207409422,-3.2283010240794767,1,NC
265,2.490004859829566,-3.1645194174708435,-1.079561413232652,3,NM
284,10.590136385895349,-4.818221256810019,-0.5359518468073186,3,CA
286,11.437126137686676,3.2960564192799016,0.6946667417649639,2,NM
287,0.9486448602354438,-4.368704695789323,3.417880224893959,0,NM
292,12.816046697228666,13.920519667086223,0.2745899644604995,2,CA
310,3.452701015921425,-3.439473710328916,-2.1035781172296404,1,CA
311,-0.7503805957866736,-1.702759425201182,-3.868097865617819,1,AR
313,-0.39371241969322496,4.55479086325089,0.14297013142949655,3,CA
323,-9.186466392363519,-1.1461816685117199,5.777797639136723,0,NC
324,5.251096698902314,-4.2526247173276674,-1.9359394023096008,3,CA
325,6.602870430934114,-2.634442460379542,1.2695989944620434,3,CA
329,0.7165189352791611,1.2177826049879505,-5.589873749409237,1,NM
333,-3.584057081643264,-2.3766134657610123,3.0809274138532707,0,CA
343,5.664389397691043,-5.457182828725827,-0.723427071939052,3,CA
347,4.053173191489559,-3.7598591216393555,-4.682605285531986,1,CA
349,-10.189197136463278,1.5039220160618183,-4.69276215950702,1,CA
353,2.110908275601674,-2.4318861140312737,-6.656869665257803,1,NV
354,-3.802668085908402,-0.25225024280334346,-5.167191003606374,1,NV
362,10.667050157570703,11.038346353828977,0.06403564181598709,2,CA
365,1.7940116892620892,10.82032504657657,-2.3138882126791875,2,CA
367,4.638616176090037,10.338586907769097,-0.3194702604817226,2,NM
368,4.16781051481294,8.762770761078736,1.7211267931897847,2,CA
385,-0.6101200336403158,-1.546171944074112,0.4455811347088062,3,CA
401,5.771502640691595,-4.150257062957134,-2.606981484145494,3,CA
429,11.417599391537456,9.211774057165123,0.005337498664530044,2,AR
433,-0.3889935111818155,-0.7280348741184742,-8.395973704106831,1,NV
442,-4.240961526729854,13.046003690651247,-5.665084758205249,1,CA
443,7.24332763519271,9.284965701941239,0.23391428118282795,2,AR
457,-2.4476029644418476,-4.369952922493556,8.153272639426172,0,NV
464,0.22161938809017687,-3.0470348402589935,-2.549704474941563,3,CA
467,14.079384386081783,3.969040913245212,0.739733267621283,2,CA
468,2.613352242046831,-2.690608925696277,-6.259915273963773,1,CA
474,-2.3642004263003034,-1.4281121351231427,-2.5734384000883344,1,NC
476,-2.8615684115123146,11.498734452051794,7.699768232831609,2,CA
481,1.3022024226036728,-4.298800356858517,1.8528739312359925,3,NC
483,-4.090300194615514,2.665416429238379,-5.43808208411349,1,CA
484,5.095196473775562,-5.060427256124421,-1.9774925525168348,3,CA
491,-5.801137623841678,-0.292085961857799,-1.9115736297288473,3,CA
493,4.752675563695887,-3.2151431178123904,-1.0488307228317555,3,NV
497,-6.862140738652613,0.8958233243634954,-5.467143044095812,1,CA
506,6.964110802436208,-4.798800764689456,-3.804524032444764,1,CA
509,-3.9725870641851473,-1.4075494794864494,-0.1297375295678927,3,CA
514,-3.5828018243218347,-0.14484018975063642,0.6284154542696219,3,CA
515,1.8480685667366057,1.5386266749801762,-1.1832229497125357,3,CA
529,-7.360970539567202,0.45640897605531006,-3.6632645992531017,1,NM
535,2.6695497241131187,-3.8158998375300226,-0.6472745697606409,3,AR
546,-0.4375862270996313,-1.862388677091291,-2.679739251787545,1,CA
548,-5.693295362034595,-2.4674736585985286,7.845762487052962,0,CA
556,13.444498634092364,-7.672105450797069,-2.3069609759387038,3,CA
559,1.764441328652831,-3.2616625685347023,-1.4552163561950622,3,CA
561,-2.8940144417601497,-0.6757785240760212,-7.565375986525244,1,NM
570,-3.506653164604146,1.3254386886525058,-1.2836996191085803,3,NC
575,0.5072811422552181,-4.808910712603972,5.835200036302787,0,CA
586,0.192225349925406,-2.800773527705831,-2.52122614562323,3,CA
607,8.967171000086191,13.696340779213443,-0.5298409136089479,2,CA
612,19.891815541214097,9.161829969638905,1.0445480756058618,2,NC
622,-10.689745463499563,3.3179790124853263,-7.179804754339331,1,CA
625,-8.827871374460017,-0.08315821634746288,2.4102654346253414,0,CA
631,0.34529638695321085,-3.2988938233855065,0.6291387138082648,0,NC
634,4.427494092541827,-4.524001799232594,-3.297250637481534,3,CA
642,-3.797273474636186,-1.8133958718297714,1.834638508867822,0,NM
644,-1.9311041750460252,-0.7693726901172461,-7.905616273562206,1,NV
646,-6.784004750996324,1.4810001548402185,-10.627883408307877,1,CA
647,-0.8583791545689974,-2.5946510977904356,-1.7923574237224067,3,CA
650,-1.8856876765203145,-2.3301068645275054,-0.5804233969794275,3,AR
652,-7.64760130425414,-1.8036288083015677,8.700309191485433,0,NC
656,-2.6030884918699324,-0.6268138892153927,-5.092654981182434,1,CA
657,-4.647880745935901,-0.9756429955756726,-0.4694461231923294,1,CA
658,-6.772251514459324,0.21036312625349754,-3.2535729942428544,1,CA
666,1.9374234581852048,8.897892046744614,3.4975765564322234,2,CA
679,8.000271350803825,9.423971875090603,0.03729929449408527,2,CA
695,3.742282080677361,-3.2171974585911505,-5.612826576488384,1,CA
701,-5.636999047113982,0.658583007626434,-4.447813488970478,1,CA
703,2.9075397687437823,-3.067601718704728,3.6115803357381857,0,CA
706,5.883751734995936,-2.2351445168667867,0.7206745432278315,3,CA
714,7.7648392105327355,-5.880653277235625,1.5841610795863292,3,AR
718,0.15328317961202853,-1.994189150653792,-6.131496789817074,1,NM
719,0.15328317961202853,-1.994189150653792,-6.131496789817074,1,NM
739,0.4542605139780432,-2.915854476930823,1.2990008556045822,0,CA
744,4.783426396727782,7.783240008031056,4.795140144179295,2,NC
747,-4.978970958888034,-1.5732678272648468,3.2320013152638145,0,NV
752,0.41084440962424995,-1.9410857838172155,-4.294006199554038,3,CA
758,4.265195080928798,-4.274172077937828,-0.013208333272003908,3,CA
776,4.2525465265602,-4.903035607070419,-2.33365735132488,3,NC
787,1.1958874305606326,-2.6861403867654525,-3.5701835681872067,3,CA
817,1.2277311549214076,0.21085144995236457,-0.8350212346496336,3,NV
822,12.408268112031307,4.370256927934255,0.3537590142947299,2,NC
825,-5.213184283995188,-0.6690072547200037,-0.7658911319332973,1,CA
842,16.331785376794404,13.49000144985905,4.144649430054973,2,NC
844,2.309645562114545,-4.886348180590009,4.058481918138663,0,NC
846,10.67908037570801,12.067576328522682,0.8484106904957989,2,CA
850,-4.64673871995763,0.8733413981328912,6.134114074589927,0,CA
851,-9.692960747888726,-1.4316522901801236,8.80041108263502,0,CA
865,7.862718287675134,5.577320315451102,-1.3754410017952172,2,CA
881,-4.592572216292835,-0.32124758270327414,-3.1058561620846765,1,NC
887,6.806299257963523,-5.007355832729468,-2.972160706462294,1,CA
889,-5.029838083606143,4.970325679557573,-1.485408521139035,3,CA
890,-0.4392911076463683,0.873681029249975,1.7319894028232263,3,NM
893,-4.875263092148328,-0.3524067297526144,-5.588814375544076,1,CA
896,3.0495610624397442,-5.334284831771809,7.667657693070902,0,CA
905,1.1083511435962017,-3.294071308698085,-1.7501666777157623,3,NC
911,11.727038479356613,-7.41934291732677,-1.4894275893331068,3,CA
912,7.816296710637315,12.15648660283014,4.766547323387772,2,CA
918,-4.983787998218494,2.6667830529713763,-0.4155128131273645,3,NC
928,12.987493873512323,-7.346945628108721,-2.0535835239091127,3,CA
937,3.215838012077608,-4.0217499815056525,-3.760455259949324,3,CA
939,13.591761016403423,-8.15497243223879,-1.6353476156448703,3,CA
955,1.464977745124042,-1.1489586980183657,-1.7989583026008602,3,CA
956,9.138655408792056,16.99405041453053,0.333220746054309,2,CA
960,-5.407606097078568,0.5897723613564974,-6.447074984164862,1,CA
965,6.565994829781744,-6.390047223182797,5.789304317643383,0,CA
967,-5.303670187149653,0.9344512753995163,-8.042462476269712,1,AR
968,9.472074007466345,12.203742387760716,-0.7397216080199621,2,CA
969,-11.045576379454138,1.6759769202492139,-1.9474560985373468,1,CA
970,10.7671188776408,14.985464476118379,2.730732582094565,2,NC
971,8.645699834612898,12.997715940564504,5.9494119710742135,2,NC
974,8.021927456392472,11.225141253746576,7.025292556204033,2,NV
978,-2.4958690047775143,-2.0493698750128853,2.0900363892488873,0,CA
983,-0.4964542601598159,-1.5690395661531586,1.946496202165937,3,NC
1003,12.484329936564873,3.6279654622674116,0.32070796673649493,2,NV
1006,7.895113165805263,-6.741894817022733,1.9753262162787073,0,CA
1010,5.5625169791732265,15.891836095859595,0.5010134891918987,2,CA
1014,-6.0058462645045445,-1.1344034293868905,3.2313707845273583,0,CA
1029,-2.381318570210051,-1.1899363022097111,-5.945196649327787,1,CA
1034,-0.5408923962034246,-2.121878200313614,-3.457077311203943,1,CA
1036,5.676327691909265,-4.057946371551853,-2.5993705176471127,3,CA
1038,-5.0509346716106664,-1.6738286088643413,2.926990730135101,0,CA
1039,-0.33007464045870377,-1.9840084046165314,-4.980573133799821,1,CA
