,x,y,label,state
631,0.34529638867013285,-3.2988938619346047,7,NC
634,4.427494091239387,-4.524001700210831,4,CA
642,-3.7972734730222726,-1.8133957878465399,7,NM
644,-1.9311041767207437,-0.7693727646469214,1,NV
646,-6.784004751800817,1.4810002407339529,1,CA
647,-0.8583791495389131,-2.5946510277943333,5,CA
650,-1.885687676865319,-2.3301067807548224,4,AR
652,-7.6476013114891455,-1.8036287469558545,7,NC
656,-2.603088491232205,-0.6268138802197473,1,CA
657,-4.6478807457516504,-0.9756429701272871,1,CA
658,-6.772251516122516,0.21036329150193667,1,CA
666,1.9374234612959094,8.89789190182423,2,CA
679,8.000271353561196,9.423971812075308,2,CA
695,3.742282078423362,-3.2171974464325457,6,CA
701,-5.636999047060674,0.6585830911442919,1,CA
703,2.9075397676047063,-3.0676016107165056,6,CA
706,5.8837517376803286,-2.235144453309439,3,CA
714,7.764839209553342,-5.880653218163766,4,AR
718,0.15328318385948922,-1.9941891068590467,0,NM
719,0.15328318385948922,-1.9941891068590467,0,NM
739,0.454260506973524,-2.9158545995797103,4,CA
744,4.783426394067703,7.783240001134625,2,NC
747,-4.978970965020601,-1.573267803942777,7,NV
752,0.4108444092499234,-1.9410857000363702,0,CA
758,4.265195080522233,-4.274172108014153,4,CA
776,4.252546530928327,-4.903035670189195,4,NC
787,1.1958874270917543,-2.686140306104198,6,CA
817,1.227731150932575,0.21085156592641896,3,NV
822,12.408268114560231,4.370256836471912,2,NC
825,-5.213184285406791,-0.6690073261495857,6,CA
842,16.33178537283029,13.490001383319244,2,NC
844,2.3096455560078497,-4.886348033578824,6,NC
846,10.679080378036861,12.067576312493317,2,CA
850,-4.6467387238270685,0.8733414557869561,7,CA
851,-9.692960743644269,-1.4316524891618447,7,CA
865,7.862718285308287,5.577320352304665,2,CA
881,-4.592572213657477,-0.32124755020612267,1,NC
887,6.806299258918309,-5.007355978381341,4,CA
889,-5.029838082533052,4.970325636163677,4,CA
890,-0.43929110238621144,0.8736809867366154,3,NM
893,-4.875263088397333,-0.35240676640983093,1,CA
896,3.0495610640226727,-5.334284800492074,7,CA
905,1.108351145926913,-3.2940713096597034,6,NC
911,11.727038473891858,-7.419342815629688,0,CA
912,7.816296709007912,12.15648664072125,2,CA
918,-4.983787997533924,2.6667829885147465,5,NC
928,12.987493867323382,-7.346945642815626,4,CA
937,3.215838015461325,-4.021750102550299,0,CA
939,13.591761018704064,-8.154972468195178,4,CA
955,1.4649777456039703,-1.148958655128846,4,CA
956,9.13865540939285,16.994050460900205,2,CA
960,-5.407606099255548,0.5897724804084225,1,CA
965,6.565994830951548,-6.390047111769518,7,CA
967,-5.3036701896499325,0.9344512719060027,1,AR
968,9.472074008313554,12.203742397817651,2,CA
969,-11.045576385617967,1.6759770020163103,1,CA
970,10.767118878815419,14.985464503259745,2,NC
971,8.645699833000029,12.997715959793059,2,NC
974,8.021927451512441,11.22514122738163,2,NV
978,-2.495869002900454,-2.049369907202194,7,CA
983,-0.49645426069975634,-1.5690395208865129,4,NC
1003,12.484329938860936,3.6279655103636155,0,NV
1006,7.895113164662513,-6.741894757796861,6,CA
1010,5.562516980218951,15.89183613083678,2,CA
1014,-6.005846269879355,-1.1344034259232008,6,CA
1029,-2.381318570558401,-1.1899362601731496,6,CA
1034,-0.5408923970615087,-2.1218781459267175,0,CA
